['S7 (Rhine-Main S-Bahn)', 'Rhine-Main S-Bahn']
['Muren, Indiana', 'Unincorporated area']
['Limestone Link', 'List of long-distance footpaths in the United Kingdom']
['Mark Kriegsman', 'Programmer']
['1970 Bowling Green Falcons football team', 'American football']
['Tim Kidd', 'Order of the British Empire']
['Dee Roscioli', 'Elphaba']
['Jonathan Yardley', 'Critic']
['Line S5 (Nanjing Metro)', 'Rapid transit']
['Namgyal Tsemo Monastery', 'Buddhism']
['Tylopilus chromoreticulatus', 'Bolete']
['Wolf Creek (New River tributary)', 'United States']
['Cuthbert, Texas', 'Ghost town']
['Turtle Mound', 'New Smyrna Beach, Florida']
['Athletics at the 2013 Island Games', '2013 Island Games']
['Albert Bimper', 'Kansas State University']
['Continentals F.C.', 'New York City']
['Autonomous University of Guerrero', 'Public university']
['Choro das 3', 'Choro']
['2006 Beninese presidential election', 'Mathieu Kérékou']
['Stigmella oritis', 'Moth']
['Saturn Award for Best Actor in a Streaming Television Series', 'Academy of Science Fiction, Fantasy and Horror Films']
['John Harry Williams', 'Asbestos']
['Hickory Corners, Ohio', 'Unincorporated area']
['Jane Bos', 'Composer']
['George Chalmers (antiquarian)', 'Scotland']
['Baris grossacavis', 'Extinction']
['Central High School (Aberdeen, South Dakota)', 'Secondary school']
['Day Schnabel', 'Vienna']
['Jorge Riveros', 'Ocaña, Norte de Santander']
['Jorge Cruickshank García', 'Popular Socialist Party (Mexico)']
['Llanmihangel Place', 'Welsh language']
['Long Melford', 'Civil parish']
['Tell Me More (song)', 'TuralTuranX']
['Tapatapa River', 'Venezuela']
['Keen Pauline', 'Kentucky']
['George de Cuevas', 'Chile']
['Hiroshi Mori (writer)', 'Mephisto Prize']
['Nino Santos', 'Association football']
['Gilnockie Provincial Park', 'Provincial park']
['Cerion chrysalis', 'Euthyneura']
['Priest (Latter Day Saints)', 'Priesthood (Latter Day Saints)']
['Xinfadi station', 'Chinese language']
['Svitino', 'Russian language']
['American Yearbook', 'Drama (film and television)']
['Intelligence Center for Counter-Terrorism and Organized Crime', 'Spanish language']
['Virgil Green', 'American football']
['Charles H. Taylor (Michigan politician)', 'Michigan Secretary of State']
['Betsey (1787 ship)', 'Slave ship']
['Guangzhou High School', 'Chinese language']
['Velocity (album)', 'Album']
['Hanging judge', 'Judge']
['French destroyer Hova', 'Arabe-class destroyer']
['Quissongo', 'Communes of Angola']
['Ethmia defreinai', 'Moth']
['Stringbike', 'Bicycle']
['Singletary Center for the Arts', 'Fine art']
['Gregorytown, New York', 'Administrative divisions of New York (state)']
['Epiphyllum laui', 'Cactus']
['Lae Botanic Gardens', 'Geographic coordinate system']
['Towamensing Township, Carbon County, Pennsylvania', 'Township (Pennsylvania)']
['List of University of Central Missouri people', 'University of Central Missouri']
['George Watsky', 'Mononym']
['Whiting Hill', 'Dukes County, Massachusetts']
['Conversion of non-Islamic places of worship into mosques', 'Muhammad']
['David Abram', 'Phenomenology (philosophy)']
['Bogdan Aleshchenko', 'Russian language']
['Badiyadka', 'Gram panchayat']
['Some Answered Questions', 'Persian language']
['Emad El-Din Mahmoud Ali', 'Basketball']
['Chris Haseman', 'Brisbane']
['Clifton B. Cates', 'World War II']
['Kkoi Dil Mein Hai', 'Romantic comedy']
['Kham Souk of Champasak', 'Laos']
['Guzmania albescens', 'Plant']
['Heilbron', 'Free State (province)']
['Bomb the Bass', 'Electronic music']
['Josef Jüttner', 'Bernartice (Jeseník District)']
['In the Middle (Ai song)', 'Letter case']
['Information Systems Security Association', 'Information security']
['Botswana National Front', 'Social democracy']
['Moriyama Domain', 'Han system']
['Atsuhiko Mori', 'Japan']
['Gaspar Grande', 'Trinidad and Tobago']
['Carmen Menoni', 'Argentine Americans']
['Meljac', 'Communes of France']
['USS Hammann (DD-412)', 'World War II']
['Harry Malcolm', 'American football']
['Rhadinothamnus', 'Genus']
['We Can Do Better (song)', 'Matt Simons']
['Salvatore Bonafede', 'Peter Erskine']
['Mineral County Schools', 'School district']
['David Rogers (footballer)', 'Football player']
['Suur-Espoonlahti', 'Finnish language']
['Svinje (album)', 'Album']
['Rybinsky (rural locality)', 'Russian language']
['The Leech (2022 film)', 'Graham Skipper']
['Casey Chaos', 'Hardcore punk']
['John S. Carlile', 'Americans']
['Liopelta', 'Extinction']
['Montbrehain', 'Communes of France']
['Rohini Sindhuri', 'Indian Administrative Service']
['Yves Gabias', 'Quebec']
['Quantum Deadline', 'Daedalus Howell']
['Ofer Talker', 'Hebrew language']
['Thomas Stanley (Maidstone MP)', 'West Peckham']
['Les Bordes-sur-Arize', 'Arize']
['Hyaena Cave', 'British Overseas Territories']
['Guille Méndez', 'Association football']
['2006 UNCAF Interclub Cup', 'Central American Football Union']
['Dąbrówka Wielka, Pomeranian Voivodeship', 'Kashubian language']
['Charles R. Lyons', 'Stanford University']
['Richard Lewontin', 'Evolutionary biology']
['Rodomonte', 'Epic poetry']
['2015–16 Nemzeti Bajnokság II', 'Association football']
['Alexander Loginov (biathlon)', 'Russian language']
['William E. Reynolds', 'Commandant of the Coast Guard']
['The Breeze Waikato', 'Hamilton, New Zealand']
['Cheft Sar, Sari', 'Persian language']
['GI (group)', 'Hangul']
['Percolestus', 'Beetle']
['Harry L. Trout', 'Mayor']
['NA-98 Faisalabad-IV', 'National Assembly of Pakistan']
['Pauline Weaver', 'Mountain man']
['Theewaterskloof Dam', 'Sonderend River']
['List of mayors of Lincoln, England', 'Lincoln, England']
['John Elmsley', 'Upper Canada']
['Miles End, Queensland', 'Suburbs and localities (Australia)']
['Rob Morgan (actor)', 'Turk Barrett']
['Billy Gram', 'Musician']
['Rarities/B-Sides', 'Compilation album']
['Gangtok Municipal Corporation', 'Municipal corporation (India)']
['Jang Tae-yoo', 'Television director']
['Govind Singh Gurjar', 'Member of the Legislative Assembly (India)']
['Herman Goldstein', 'Problem-oriented policing']
['Shir-e Sangi', 'Hamadan']
['Wedge Ridge', 'Geographic coordinate system']
['Jj n° 2', 'Album']
['Nikç', 'Human settlement']
['Arthur Sinodinos', 'Order of Australia']
['Love for Guala', 'Flipp Dinero']
['Coco Robicheaux', 'Blues']
["I'd Like to Have That One Back", 'Country music']
['Ramdas L. Bhirud', 'List of Indian mathematicians']
['Bank AL Habib', 'Commercial bank']
['Tereza Skoumalová', 'Czech Miss']
['Alix M. Freedman', 'New York City']
['Gross Sky Ghost', 'Monoplane']
['Ashaghy caravanserai', 'Azerbaijani language']
['Oak Academy', 'Mixed-sex education']
['XHROOC-FM', 'Chetumal']
['Hawayeq', 'Arabic']
['Puramathra', 'Kulukkallur']
['University of Wales Registry', 'Geographic coordinate system']
['The Bash (company)', 'South Norwalk, Connecticut']
['This Is Not for You', 'Rock music']
['Mafersa coaches', 'Passenger railroad car']
['Absence of fingerprints-congenital milia syndrome', 'Genetic disorder']
['Cerebral vasculitis', 'Vasculitis']
['Pablo Lucio Vasquez', 'Donna, Texas']
['Shanghai Museum bamboo slips', 'Traditional Chinese characters']
['Wonderland (AleXa song)', 'AleXa']
['Northwestern University', 'Private university']
['Cascina Increa', 'Brugherio']
['River Alde', 'River']
['George Howell (entrepreneur)', 'Boston']
['Luna (The Aliens album)', 'The Aliens (Scottish band)']
['Háromhuta', 'Borsod-Abaúj-Zemplén County']
['Abantiades marcidus', 'Moth']
['Warsaw Fortress', 'Polish language']
['FC Helios Kharkiv', 'Association football']
['List of South Africa One Day International cricket records', 'One Day International']
['Timeline of the COVID-19 pandemic in January 2021', 'Epidemiology']
['Theaterpathologisches Institut', 'Hamburg']
['Ted Grabinski', 'American football']
['P. Karthiyayini', 'Mayor']
['Bruys', 'Communes of France']
['WXJO', 'AM broadcasting']
['List of 1984 Winter Olympics medal winners', '1984 Winter Olympics']
['Jonathan Larmonth Meakins', 'Order of Canada']
['Alexsander (footballer, born 2003)', 'Association football']
['Toe (name)']
['List of companies of the United Arab Emirates', 'United Arab Emirates']
['Isobel Murray', 'University of Aberdeen']
['Francesco Gerbaldi', 'List of geometers']
['Aaron Space', 'Lighthouse (band)']
['Harald Wohlrapp', 'Hildesheim']
['Hiregasaki Station', 'Train station']
['30th Saskatchewan general election', 'Scott Moe']
['Ocean Park Standoff', 'Samantha Ronson']
['Oscar Stoumon', 'Belgium']
['Martijn van Geemen', 'Purmerend']
['Cyperus hesperius', 'Cyperaceae']
['Uka (village)', 'Russian language']
['Ugnė Mažutaitytė', 'Swimming (sport)']
['Harry Logan', 'Association football']
['2019 Villa Nueva mayoral election', 'Edwin Escobar Hill']
['Voytek']
['Cork County Council', 'Irish language']
['John Cavendish', 'Cavendish, Suffolk']
['Dolné Zahorany', 'Hungarian language']
['Tom Scaperlanda', 'Galveston, Texas']
['Osu!', 'MIT License']
['Army Navy (band)', 'Los Angeles']
['Jean Bart-class cruiser', 'Protected cruiser']
['2000–01 Football League Cup', 'Worthington Brewery']
['Khvordeh Bolagh', 'Persian language']
['Hala Gorani', 'CNN International']
['Speed skating at the 1984 Winter Olympics', 'Speed skating']
['Foresight (futures studies journal)', 'Emerald Group Publishing']
['Senior Open de Portugal', 'Golf']
['Clifton Rugby', 'England']
['Kim Song-nam (politician)', 'Korean language']
['Karenn', 'Electronic dance music']
['Grateful (DJ Khaled album)', 'Album']
['Corruption in Equatorial Guinea', 'Kleptocracy']
['Khodro Kaveer', 'Car']
['CHAOS (operating system)', 'Linux distribution']
['The Moon Is a Dead World', 'Album']
['Legendary Entertainment', 'Filmmaking']
['Santa Marinha e São Pedro da Afurada', 'Freguesia']
["Star Trek: The Next Generation Officer's Manual", 'FASA']
['Cormier Range', 'Mountain range']
["Peta Bala'c", 'Association football']
['Szystowice', 'Village']
["2011 European Athletics U23 Championships – Men's 3000 metres steeplechase", '3000 metres steeplechase']
['Julia Graydon Sharpe', 'Indianapolis']
['Shin Kong Life Nangang Tower', 'Traditional Chinese characters']
['Jesu/Battle of Mice', 'Post-rock']
['Kendo Nagasaki', 'Professional wrestling']
['Gach Keykhah', 'Persian language']
['Chu Pou', 'Courtesy name']
['5.56×45mm NATO', 'NATO']
['2019 Papua New Guinea Hunters season', 'Queensland Cup']
['Le Désespéré', 'Gustave Courbet']
['Clubbo Records', 'Slogan']
['2008 Letran Knights basketball team', 'Letran Knights basketball']
['Sardanapalo', 'Italian language']
['30th Actors and Actresses Union Awards', 'Circo Price']
['Horton Park, Bradford', 'Urban park']
['Mark A. Smith', 'Pathology']
['Chicken Sandwich Wars', 'United States']
['Jaama, Ida-Viru County', 'Alutaguse Parish']
['Záhoří (Písek District)', 'Písek District']
['Favourite Spanish Dishes', 'Extended play']
['Jump (Every Little Thing song)', 'Japan']
['Den Dreef', 'King Power']
['New Zealand cricket team in England in 2004', 'New Zealand national cricket team']
['Terrazas de los Andes', 'Luján de Cuyo']
['WBCO', 'AM broadcasting']
['Thottam Pattu', 'Malayalam']
['Banded-fin flounder', 'Pleuronectidae']
['TS Pretoria', 'Cargo liner']
['Abdullah Al Noman', 'Bangladesh Nationalist Party']
['Communes of the Loiret department', 'Communes of France']
['Rinat Farkhoutdinov', 'Ice dance']
["Unió Sindical d'Andorra", 'Trade union']
['Chrysops brimleyi', 'Deer fly']
['Ned Barkas', 'Association football']
['Susanne Hou', 'Simplified Chinese characters']
['Je chante avec toi Liberté', 'Pierre Delanoë']
['Chitiz Tamang', 'Cricket']
['Dalrymple, East Ayrshire', 'Scots language']
['Jesse Pellot', 'Basketball']
['Any Day Now (1976 film)', '1976 in film']
['Marquesan language', 'Polynesian languages']
['Leptoxis clipeata', 'Gastropoda']
['Grigoris Bithikotsis', 'Greek language']
['Lineto', 'Type foundry']
['Mürsəqulu', 'Geographic coordinate system']
['Sosoli Talawadua', 'Rugby union']
['The Hour of Bewilderbeast', 'Badly Drawn Boy']
['Eugenio Calabi', 'Mathematician']
['Vik, Iran', 'Persian language']
['1886 United States House of Representatives elections in California', 'California']
['Human Nature (America album)', 'United States']
['Cultural heritage of Belarus', 'Cultural heritage']
['The Paradise Syndrome', 'Star Trek: The Original Series (season 3)']
['Day Stars', 'Russian language']
['Ante Starčević Square', 'Croatian language']
['Seidu Paakuna Adamu', 'Ghanaians']
['Thomas Mignone', 'Feature film']
['Coimbra Fado', 'Fado']
['Aker Al-Obaidi', 'Greco-Roman wrestling']
['Alex Shibicky', 'Ice hockey']
['1974 Merton London Borough Council election', 'Merton London Borough Council']
['Avadh Bhatia', 'Canadians']
['B. K. V. J. E. Rodrigo', 'Brigadier']
['Kirby: Canvas Curse', 'Platform game']
['Lavoir', 'Laundry']
['Vincent A. Riccio', 'New York State Assembly']
['Stichopogon trifasciatus', 'Asilidae']
['Privacy-enhancing technologies', 'User (computing)']
["When You're Alone, You're Not Alone", 'Forgive Durden']
['Brittany Howard', 'Alabama Shakes']
['Listed buildings in Witherslack', 'Witherslack']
['Nitrianske Sučany', 'Hungarian language']
['Minnesota Curling Association', 'United States Curling Association']
['Alex Easton', 'Member of the Legislative Assembly']
['914 Palisana', 'Asteroid']
['Simmondsin', 'Jojoba']
['George Biagi', 'Irvine, North Ayrshire']
['Canadian Aboriginal syllabics', 'Languages of Canada']
['Nodiscala', 'Hypsogastropoda']
['Bill Rogers (quarterback)', 'College football']
['Expander (song)', 'The Future Sound of London']
['Lost Themes II', 'John Carpenter']
['Antony Griffiths', 'Fellow of the British Academy']
['Lovemore']
['Trépail', 'Communes of France']
['Chromacilla discoidalis', 'Longhorn beetle']
['Umple', 'Object-oriented programming']
['Sigma Alpha Mu', 'College']
['Steve Patton', 'American football']
['Karl Küpfmüller', 'Nuremberg']
['Daseatas', 'Greek mythology']
['Maria Baptista Soares']
['Division No. 6, Manitoba', 'List of census divisions of Manitoba']
['1999 Clare County Council election', 'Clare County Council']
['Tomorrow We Move', 'French language']
['Rock Art Show', 'Philadelphia']
['William Robinson Leigh', 'Illustrator']
['Poeciliopsis sonoriensis', 'Fish']
['Joel Lindpere', 'Association football']
['Countess Sophia Ignatieva', 'Russian language']
['Evans Mensah (footballer, born 1998)', 'Association football']
['Elizabeth, West Virginia', 'County seat']
['Leonard Parrington', 'Military Cross']
['Purwanchal Campus', 'Nepali language']
['Steinheii', 'Mountain']
['Enclosed C', 'Typography']
['Roof (Chinese constellation)', 'Chinese language']
['Shtanë', 'Malzi']
['Sociedad Española de Construcción Naval', 'Spanish Civil War']
['William Chisholm (Nova Scotia politician)', 'Canadians']
['Anand Burman', 'Billionaire']
['1882 New Brunswick general election', '25th New Brunswick Legislature']
['Di-tert-butyl dicarbonate', 'Reagent']
['Murray Aynsley Hill', 'Christchurch']
['Spirea X', 'Alternative rock']
['James H. Butwell', 'Triple Crown of Thoroughbred Racing (United States)']
['Parchak, Khuzestan', 'Persian language']
['Raid on Haverhill (1708)', "Queen Anne's War"]
['Gathurst Viaduct', 'M6 motorway']
['Omen (Soulfly album)', 'Heavy metal music']
['List of governorates of the Russian Empire', 'Governorate (Russia)']
['Fundamental Orders of Connecticut', 'Connecticut Colony']
['Pleš, Kočevje', 'German language']
['Phra Bang', 'Mudra']
['Monuments aux Morts', 'War memorial']
['Hajj Kazemi', 'Persian language']
['Rabia Kaya', 'Weightlifting at the 2017 Islamic Solidarity Games']
['Sicarius (spider)', 'Genus']
['Adam Giede Böving', 'Zoology']
['Bona Dussault', 'Quebec']
['Mexican Federal Highway 195', 'List of Mexican Federal Highways']
['All-Union Communist Party of Bolsheviks (1991)', 'Russian language']
['2-2-4T', 'Whyte notation']
['Schalodeta', 'Monotypic taxon']
['History of sonata form', 'Classical music']
['Guide Bleu', 'Guide book']
['Dimeroclymenia', 'Ammonoidea']
['Christian Alfonso', 'Association football']
['57P/du Toit–Neujmin–Delporte', 'Daniel du Toit']
['Paula Ludwig', 'Darmstadt']
["Bird's Eye View (TV series)", 'BBC']
['Kirkcaldy & Dysart F.C.', 'Association football']
['Michael Bellusci', 'Danger Danger']
['Su Jia-chyuan', 'Traditional Chinese characters']
['Estadio Nueva Balastera', 'Association football']
['List of Canadian poets']
['Mice Love Rice', 'Simplified Chinese characters']
['Lake Thunderbird', 'Reservoir']
['The Personals (1998 Taiwanese film)', 'Comedy drama']
['Abdomen', 'Thorax']
['List of Billboard Hot 100 number ones of 2013', 'Billboard Hot 100']
['Cézembre Point', 'Geographic coordinate system']
['Gerard Simpson', 'Cricket']
['Defence Act 1990', 'Act of Parliament']
['Antonio Bamboccio', 'Gothic art']
['Daniel Guérin (table tennis)', 'French people']
['1938 San Francisco Dons football team', 'American football']
['Duchy of Daya Luhur', 'Dayeuhluhur']
['Cherry Ridge Airport', 'Federal Aviation Administration']
['Didra Martínez', "Women's association football"]
['Mazhabi Sikh', 'Sikhism']
['Czech Republic Basketball Cup', 'Basketball']
['HMS Sparkler', 'Royal Navy']
['Jenny Mae', 'Indie rock']
['Big Slide Mountain']
['Chinese mulberry']
['Wayne K. Curry', "Prince George's County, Maryland"]
['Brieva de Cameros', 'Autonomous communities of Spain']
['Munich Group', 'Ministry of foreign affairs']
['Kirby Bliss Blanton', 'Project X (2012 film)']
['Mettray Penal Colony', 'Mettray']
['Micro Mobility Systems', 'Kick scooter']
['Skirt dance', 'Burlesque']
['Reerh', 'Urdu']
['Gene Snowden', 'Indiana']
['Rolf Franke', 'Basketball']
['Charpont', 'Communes of France']
['Nyakrom', 'Agona West Municipal District']
['Clary DE-60', 'Transistor computer']
['Collonges-la-Rouge', 'Occitan language']
['Blind Fool Love', 'Post-hardcore']
['Massena Memorial Hospital', 'St. Lawrence Health System']
['Palacio Arabe', 'Neo-Mudéjar']
['In Deep (Mark Lockheart album)', 'Mark Lockheart']
['2014 in Brazil', 'Brazil']
["Athletics at the 2007 All-Africa Games – Women's 4 × 100 metres relay", '4 × 100 metres relay']
['Innoventions (Disneyland)', 'Tomorrowland']
['Ault Store', 'Commercial property']
['André Laug', 'Fashion design']
['Prichard, Idaho', 'Unincorporated area']
['Phil Karn', 'Lutherville, Maryland']
['Generalized pustular psoriasis', 'Psoriasis']
['Yang Fangxu', 'Simplified Chinese characters']
['List of NCAA Division II baseball programs', 'NCAA Division II']
['A Monstrous Regiment of Women', 'Mary Russell (character)']
['Jiří Jesenský', 'Fencing']
['Nada Lake', 'Lake']
['2004 United States House of Representatives elections in Missouri', 'Missouri']
['Championship Golf', 'Hayden Book Company']
['Macherla railway station', 'Indian Railways']
['Arif Ali', 'Associated Press']
['Yadgar Club', 'Muzaffargarh']
['Olga Ehrenhaft-Steindler', 'Austrians']
['Cartoonito (Middle Eastern and African TV channel)', "Children's interest channel"]
['Samuel Twardowski', 'Poet']
['Amerio Chiara', 'Rugby league']
['Eurybia radulina', 'Herbaceous plant']
['Tuomas Holopainen', 'Symphonic metal']
['David Yarrow', 'Fine-art photography']
['Stocken-Höfen', 'Municipalities of Switzerland']
['Willi Titze', 'Painting']
['Alessio Viola', 'Association football']
['Prednisolone acetate', 'Organic compound']
['Lycksele Municipality', 'Swedish language']
['Puss in Boots (Shrek)', 'Supporting character']
['George Rogers Howell', 'Southampton, New York']
['Alticotius de Alticotiis', 'Roman Catholic Diocese of Guardialfiera']
['Rhizopus soft rot', 'Plant pathology']
['Morris Robinson', 'Bass (voice type)']
['Financial Reporting Council of Nigeria', 'Nigeria']
['Eustace Katagira', 'Chama Cha Mapinduzi']
['Çal', 'Denizli Province']
['Terror Squad Entertainment', 'Hip hop music']
['Hermann Hreiðarsson', 'Association football']
['Sand geyser', 'Geology']
['Degaussing', 'Magnetic field']
['Journal of Speech, Language, and Hearing Research', 'Peer review']
['Autovía A-382', 'Autovía']
['Frog Detective 2: The Case of the Invisible Wizard', 'The Haunted Island, a Frog Detective Game']
['Surmo', 'Urdu']
['Mitch Johnson', 'American football']
['Season of Annunciation', 'Transliteration']
['Marco Villa', 'Abbiategrasso']
['Middle Atlantic Writers Association', 'Nonprofit organization']
['Mecyclothorax zimmermani', 'Ground beetle']
['Kieran Molloy (Gaelic footballer)', 'Gaelic football']
['Dasypogon obliquifolius', 'Species']
['Holly Yanco', 'University of Massachusetts Lowell']
['Cora Belle Brewster', 'Flora A. Brewster']
['Symmetrischema conifera', 'Moth']
['BP Service Association in Canada', 'Victoria, British Columbia']
['Sendelingsdrift', 'Namibia']
['German submarine U-2347', 'Type XXIII submarine']
['English fifty shilling coin', 'Gold coin']
['Acraspis', 'Gall wasp']
['Susan Sloan', 'Swimming (sport)']
['Electronic health records in England', 'National Health Service']
['Brajan Nenezić', 'Serbian Cyrillic alphabet']
['Revolutionary Communist Alliance', 'French language']
['The Wrong Object', 'Michel Delville']
['Barbapedana', 'Milanese dialect']
['2012 Winnipeg Blue Bombers season', '2012 CFL season']
['List of storms named Quinta', 'Tropical cyclone']
['Rick Dancer', 'Oregon']
['Jari Korpisalo', 'Finland']
['Thomas Woodcock (officer of arms)', 'Royal Victorian Order']
['Current Issues in Criminal Justice', 'Peer review']
['Transgender Archive', 'Transgender Foundation of America']
['Glenea hasselti', 'Beetle']
['Burren Way', 'Irish language']
['Senuma']
['Signaling System No. 6', 'Common-channel signaling']
['Kalamita Bay', 'Russian language']
['Live at the Annandale', 'The Bronx (band)']
['Kina Bona', 'Order of the British Empire']
['Public School No. 60', 'School']
['Swimming at the 1961 Summer Universiade', '1961 Summer Universiade']
['William Parnell (cricketer)', 'Lieutenant colonel (United Kingdom)']
['Lewis Wimbish Plantation', 'Tobacco']
['Nomvula Mokonyane', 'African National Congress']
['Betsey Monnot', 'Episcopal Diocese of Iowa']
['History of rail transport in Great Britain 1948–1994', 'Rail transport in Great Britain']
['List of minor planets: 3001–4000', 'List of minor planets']
['Roman Catholic Diocese of Rimini', 'Latin']
['Hradiště (Benešov District)', 'Benešov District']
['Castromembibre', 'Province of Valladolid']
['Odon (river)', 'River']
['1985 College Baseball All-America Team', 'All-America']
['Erik Otto Larsen', 'Danes']
['Eudonia halirrhoa', 'Moth']
["Dordogne's 2nd constituency", 'List of constituencies of the National Assembly of France']
['Vrelo (Kuršumlija)', 'Municipalities and cities of Serbia']
['Aubrey Johnston', 'Cricket']
['Fetterlock', 'Charge (heraldry)']
['Philip Bainbrigge', 'Lieutenant general']
['Gabriel Taborin', 'Belley']
['Envy-graph procedure', 'Fair item allocation']
['The Church of Jesus Christ of Latter-day Saints in Spain', 'The Church of Jesus Christ of Latter-day Saints']
['Tuckerman, Arkansas', 'Jackson County, Arkansas']
['Harris House (Barneveld, Wisconsin)', 'Barneveld, Wisconsin']
['Valenciana Mine', 'Guanajuato']
['Chuymani', 'Aymara language']
['2016–17 Andebol 1', 'Andebol 1']
['Hugh Nelson (Virginia politician)', 'United States House of Representatives']
['Emilio Baglioni', 'Jack L. Warner']
['Madumana', 'Sri Lanka']
['Porcellionides approximatus', 'Woodlouse']
['Jeannot Schaul', 'Luxembourg']
['Self-Sacrifice National Democratic Party', 'Uzbek language']
['Lymansville Company Mill', 'North Providence, Rhode Island']
['Patricia Conolly', 'West End theatre']
['Jack Scarry', 'Basketball']
['Violette Cordery', 'Captain (British Army and Royal Marines)']
['Baghat', 'Princely state']
['City National Bank Building (Houston)', 'Houston']
['Basil of Naples', 'Duke of Naples']
['Adams Island (Nunavut)', 'Inuit languages']
['Corkball', 'Variations of baseball']
['Nez Perce language', 'Sahaptian languages']
['Untersteckholz', 'Municipalities of Switzerland']
['Louisiana Brigade Winter Camp', 'American Civil War']
['Tang Sanzang', 'Traditional Chinese characters']
['Martin Taylor (cricketer)', 'Cricket']
['Matsumyia bimaculata', 'Hover fly']
['White spaces (radio)', 'Telecommunications']
['Bogdani', 'Albanian language']
['Richelle Bear Hat', 'Blackfoot Confederacy']
['Savannah State University', 'Public university']
['Rufus Ferrand Pelletier', 'Carteret County, North Carolina']
['Keolari', 'Tehsil']
['Javier Álvarez (runner)', 'Long-distance running']
['1901 Southern Intercollegiate Athletic Association football season', 'College football']
['Marechal Deodoro (São Paulo Metro)', 'Line 3 (São Paulo Metro)']
['Joseph Wearne', 'St Levan']
['DeKalb County Courthouse (Illinois)', 'DeKalb County, Illinois']
['Juri Sulimov', 'Serial killer']
['Norman Rae', 'English people']
['Amphiprostyle', 'Classical architecture']
['CHOP-FM', 'High school radio']
['Patrol torpedo boat Q-112 Abra', 'United States Army']
['List of Vasas SC seasons', 'Vasas SC']
['James McCaulley (tug)', 'Tugboat']
['Weinmeisterstraße (Berlin U-Bahn)', 'Berlin U-Bahn']
['Killing of Maria Colwell', 'Stepfamily']
['Scheibler']
['The Devotion of Suspect X (film)', 'Chinese language']
['816th Strategic Aerospace Division', 'United States Air Force']
['WENK', 'AM broadcasting']
['Kyiv Bandurist Capella', 'Ukrainian language']
['Anthony Kang', 'Korean Americans']
['Central Forest Reserve National Park', 'Saint Kitts and Nevis']
['Stuckless Glacier', 'Geographic coordinate system']
['London Progressive Journal', 'United Kingdom']
['Richard Nicoll', 'Association Nationale pour le Développement des Arts de la Mode']
['Jagdfliegerführer 3', 'Wiesbaden']
['Igor Strelbin', 'Russian language']
['Mariana Rondón', 'Barquisimeto']
['Mates Friesel', 'Skver (Hasidic dynasty)']
['Not Alone (Park Jung-min song)', 'CD single']
['Rădeni, Călărași', 'Călărași District']
['Michelle Arthur', 'J. J. Abrams']
['Telecommunications in Fiji', 'South Pacific Stock Exchange']
['Maternidade de São Paulo', 'Hospital']
['Sir Walter Bagot, 5th Baronet', 'Blithfield Hall']
['Governorates of Iraq', 'Arab League']
['Giacinto de Popoli', 'Baroque painting']
['The War (The New Power Generation song)', 'New Power Generation']
['Vicario Portillo Martínez', 'Party of the Democratic Revolution']
['Dirck Pesser', 'Rotterdam']
['Noam Chomsky bibliography and filmography', 'Noam Chomsky']
['Holy Rosary parish, Billingham', 'Billingham']
['Lucius Maecius Postumus', 'Roman Empire']
['Manzanita, Oregon', 'Oregon Coast']
['Cúram Software', 'Dublin']
['Itapará River', 'Roraima']
['Beach', 'Landform']
['Nolia Clap (EP)', 'Extended play']
['Elaphidion jamaicensis', 'Beetle']
['Rajendra Pratap Singh', 'Pratapgarh, Uttar Pradesh']
['1927 All-Ireland Senior Hurling Championship', 'All-Ireland Senior Hurling Championship']
['CWOW Gallery', 'Newark, New Jersey']
['Laura Garwin', 'Rhodes Scholarship']
['2008 Korea Professional Baseball season', 'KBO League']
['David Buskin', 'New York City']
['Ultra 24', 'Workstation']
['List of homesteads in Western Australia: N–O', 'Gazetteer of Australia']
['Plantain Garden River', 'Saint Thomas Parish, Jamaica']
['Location-based routing', 'Telephone call']
['Pass laws', 'Glen Grey Act']
['San Domenico di Camerino Altarpiece', 'Carlo Crivelli']
['History of Eurasia', 'Middle East']
['Rock in the Red Zone', 'Documentary film']
['Caenocephaloides', 'Fly']
['Armchair Expert', 'Dax Shepard']
['Trafalgar High School', 'Education in Australia']
['Carmel Muscat', 'Cycle sport']
['Yasuhira Kiyohara', 'Imperial Japanese Army']
['Democratic Republic of the Congo–Holy See relations', 'Bilateralism']
['Mr. Mixie Dough', "Children's literature"]
["Field archery at the 2009 World Games – Men's compound", 'Archery']
['Kolonia Plucice', 'Human settlement']
['Paul H. Brown', 'Jazz']
['Ignacio Garrido', 'Golf']
['Fury Road (2019)', 'Card (sports)']
['K.Kotapadu', 'Tehsil']
['FC Hirnyk Pavlohrad', 'Ukraine']
['Nataraja Ramakrishna', 'Andhra Pradesh']
['Chris Cillizza', 'Pundit']
['Professional Scouter (Boy Scouts of America)', 'Boy Scouts of America']
['Battling Marshal', 'Western (genre)']
['Martin Kushev', 'Bulgarian language']
['John Lucas (VC)', 'Victoria Cross']
['Blackstone (novel)', 'Historical fiction']
['SDEF', 'Proprietary protocol']
['Uruguay at the 2013 World Aquatics Championships', 'Uruguay']
['Muhyiddin cabinet', 'Muhyiddin Yassin']
['I Want a Love I Can See', 'The Temptations']
['Dichomeris directa', 'Moth']
['Curling at the 1932 Winter Olympics', 'Demonstration sport']
